"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"Heart Songs and Other Stories","","Annie Proulx","Fiction","http://books.google.com/books/content?id=_K2fswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Before she wrote her Pulitzer Prize-winning bestseller The Shipping News, E. Annie Proulx was already producing some of the finest short fiction in the country. Here are her collected stories, including two new works never before anthologized. These stories reverberate with rural tradition, the rites of nature, and the rituals of small-town life. The country is blue-collar New England; the characters are native families and the dispossessed working class, whose heritage is challenged by the neorural bourgeoisie from the city; and the themes are as elemental as the landscape: revenge, malice, greed, passion. Told with skill and profundity and crafted by a master storyteller, these are lean, tough tales of an extraordinary place and its people.","1995","3.93","203","Before she wrote her Pulitzer Prize-winning bestseller The Shipping News, E. Annie Proulx was already producing some of the finest short fiction in the country. Here are her collected stories, includi"
"Eight Little Piggies","Reflections in Natural History","Stephen Jay Gould","Nature","http://books.google.com/books/content?id=_kOoVw0SIhUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","In the sixth volume of essays from Natural History magazine, a science writer discusses environmental spoliation and the massive extinction of the Earth's species.","1994","4.09","480","In the sixth volume of essays from Natural History magazine, a science writer discusses environmental spoliation and the massive extinction of the Earth's species."
"The Swords of Night and Day","","David Gemmell","Drenai (Imaginary place)","http://books.google.com/books/content?id=_lAbcRWV2N4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","A thousand years after they fell in battle, two heroes - Druss and Skilgannon - are revered throughout the war-torn lands of the Dernai, where men and women live in abject fear of the dark sorceress known as the Eternal...But what if the soul of one suc","2005","4.31","640","A thousand years after they fell in battle, two heroes - Druss and Skilgannon - are revered throughout the war-torn lands of the Dernai, where men and women live in abject fear of the dark sorceress k"
"The Complete Adventures and Memoirs of Sherlock Holmes","","Arthur Conan Doyle","Fiction","http://books.google.com/books/content?id=_Ld2twEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Presents a facsimile of the twenty-four original ""Strand Magazine"" stories about the adventures of the intrepid detective Sherlock Holmes, which first appeared in publication between 1891 and 1893.","2001","4.33","334","Presents a facsimile of the twenty-four original ""Strand Magazine"" stories about the adventures of the intrepid detective Sherlock Holmes, which first appeared in publication between 1891 and 1893."
"Seventy-Seven Clocks","","Christopher Fowler","Fiction","http://books.google.com/books/content?id=_N1BM5XM2M8C&printsec=frontcover&img=1&zoom=1&source=gbs_api","Peculiar Crimes Unit detectives John May and Arthur Bryant become embroiled in a twisted and complex conspiracy involving blackmail, priceless artworks, violence, and ritual murder when they investigate the bizarre death of a guest at London's famed Savoy Hotel. Original.","2005","3.89","496","Peculiar Crimes Unit detectives John May and Arthur Bryant become embroiled in a twisted and complex conspiracy involving blackmail, priceless artworks, violence, and ritual murder when they investiga"
"The White Hotel","","D. M. Thomas","Austria","http://books.google.com/books/content?id=_npfQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","""It is a dream of electrifying eroticism and inexplicable violence, recounted by a young woman to her analyst, Sigmund Freud. It is a horrifying yet restrained narrative of the Holocaust. It is a searing vision of the wounds of our century, and an attempt to heal them. Interweaving poetry and case history, fantasy and historical truth-telling, Thw white hotel is a modern classic of enduring emotional power that attempts nothing less than to reconcile the notion of individual destiny with that of historical fate.""--Back cover.","1999","3.83","240","""It is a dream of electrifying eroticism and inexplicable violence, recounted by a young woman to her analyst, Sigmund Freud. It is a horrifying yet restrained narrative of the Holocaust. It is a sear"
"The History of the Lord of the Rings","","John Ronald Reuel Tolkien;Christopher Tolkien","Fiction","http://books.google.com/books/content?id=_NsHAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","J.R.R. Tolkien's The Lord of the Rings, now firmly acknowledged as one of the most popular books of the twentieth century, has captivated generations of readers with its completely convincing fantasy. In The History of The Lord of the Rings, the author's son & literary heir, Christopher Tolkien, examines the creation of that epic from its inception to its finished form. At the core of these books are many early drafts & unpublished passages by Tolkien, which add greatly to a thorough understanding of his masterpiece. Combining his father's unique vision with his own privileged insight & editorial commentary, Christopher Tolkien's The History of The Lord of the Rings is a set of four volumes -- including one unique to this collection -- that no fan of The Lord of the Rings can afford to overlook. ""One marvels anew at the depth, breadth, & persistence of J.R.R. Tolkien's labor. No one sympathetic to his aims, the invention of a secondary universe, will want to miss this chance to be present at the creation."" -- Publishers Weekly.","2000","4.38","1680","J.R.R. Tolkien's The Lord of the Rings, now firmly acknowledged as one of the most popular books of the twentieth century, has captivated generations of readers with its completely convincing fantasy."
"The Canterbury Tales of Geoffrey Chaucer","","Simon & Schuster, Limited","Poetry","http://books.google.com/books/content?id=_NWbEtYNLWUC&printsec=frontcover&img=1&zoom=1&source=gbs_api","","2004","3.49","383",""
"International Building Code 2003","","International Code Council","Reference","http://books.google.com/books/content?id=_opUAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The 2003 International Building Code addresses the design and installation of building systems through requirements that emphasize performance, providing minimum regulations for building systems using prescriptive- and performance-related provisions, including structural as well as fire- and life-safety provisions covering seismic, wind, accessibility, egress, occupancy, roofs, and more.","2002","3.62","656","The 2003 International Building Code addresses the design and installation of building systems through requirements that emphasize performance, providing minimum regulations for building systems using"
"Big Bad Wolf","","Linda Jones;Linda Winstead","Fiction","http://books.google.com/books/content?id=_oqKmVNatvMC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Her heart captured by the very sight of handsome Wolf Trevelyan after he confronts her in the forest, Molly casts aside her concerned grandmother's reservations in order to pursue her instincts. Original.","1997","3.82","359","Her heart captured by the very sight of handsome Wolf Trevelyan after he confronts her in the forest, Molly casts aside her concerned grandmother's reservations in order to pursue her instincts. Origi"
"The Treasure Principle","","Randy Alcorn","Religion","http://books.google.com/books/content?id=_PFyysVnTaQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Bestselling author Randy Alcorn uncovers the revolutionary key to spiritual transformation: joyful giving! Jesus' life-changing formula guarantees not only kingdom impact, but immediate pleasure and eternal rewards.","2005","4.13","120","Bestselling author Randy Alcorn uncovers the revolutionary key to spiritual transformation: joyful giving! Jesus' life-changing formula guarantees not only kingdom impact, but immediate pleasure and e"
"The Red Gloves Collection","","Karen Kingsbury","Fiction","http://books.google.com/books/content?id=_phtvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Compiled in this collector edition are Gideon's Gift, Sarah's Song, Maggie's Miracle, and Hannah's Hope. Readers worldwide have been touched by these heart-warming tales of hope, inspiration, and joyous miracles by bestselling author Karen Kingsbury.","2006","4.48","640","Compiled in this collector edition are Gideon's Gift, Sarah's Song, Maggie's Miracle, and Hannah's Hope. Readers worldwide have been touched by these heart-warming tales of hope, inspiration, and joyo"
"Easy Riders, Raging Bulls","How the Sex 'n' Drugs 'n' Rock 'n' Roll Generation Saved Hollywood","Peter Biskind","Film producers and directors","http://books.google.com/books/content?id=_PhXwvS21CIC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Based on hundreds of interviews with directors such as Coppola, Scorsese, Hopper and Spielberg, as well as producers, stars, studio executives, writers, spouses, ex-spouses, and girlfriends, this is the story of the crazy world that the directors ruled. Originally published in 1998.","1999","4.11","506","Based on hundreds of interviews with directors such as Coppola, Scorsese, Hopper and Spielberg, as well as producers, stars, studio executives, writers, spouses, ex-spouses, and girlfriends, this is t"
"Star Trek: The Original Series: Crucible: McCoy: Provenance of Shadows","","David R. George III","Fiction","http://books.google.com/books/content?id=_Pz9jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Displaced in time, Dr. Leonard McCoy's life takes two bizarre, divergent paths as his actions in the past threaten to forever alter the present and destroy the future as he discovers an unimaginable altered history. Original.","2006","4.14","640","Displaced in time, Dr. Leonard McCoy's life takes two bizarre, divergent paths as his actions in the past threaten to forever alter the present and destroy the future as he discovers an unimaginable a"
